step,train_loss,val_loss,best_val_loss
0,4.542766571044922,4.520955562591553,4.520955562591553
100,2.8816046714782715,2.8858940601348877,2.8858940601348877
200,2.548243761062622,2.533283233642578,2.533283233642578
