step,train_loss,val_loss,best_val_loss
0,4.843167304992676,4.814640998840332,4.814640998840332
100,2.642465829849243,2.605935573577881,2.605935573577881
200,2.4909167289733887,2.4351553916931152,2.4351553916931152
300,2.37139630317688,2.361405611038208,2.361405611038208
400,2.323112726211548,2.2935023307800293,2.2935023307800293
500,2.330310344696045,2.3015923500061035,2.2935023307800293
600,2.262830972671509,2.2532238960266113,2.2532238960266113
700,2.2189576625823975,2.1675047874450684,2.1675047874450684
800,2.160233736038208,2.1503701210021973,2.1503701210021973
900,2.0475614070892334,2.058399200439453,2.058399200439453
1000,1.991960883140564,2.0093212127685547,2.0093212127685547
1100,1.9245256185531616,1.9528262615203857,1.9528262615203857
1200,1.8444496393203735,1.9012657403945923,1.9012657403945923
1300,1.8123340606689453,1.849047064781189,1.849047064781189
1400,1.729645013809204,1.7935705184936523,1.7935705184936523
1500,1.6489534378051758,1.774298071861267,1.774298071861267
1600,1.6272121667861938,1.727940559387207,1.727940559387207
1700,1.6178165674209595,1.6646702289581299,1.6646702289581299
1800,1.5508170127868652,1.6446638107299805,1.6446638107299805
1900,1.5170518159866333,1.6458015441894531,1.6446638107299805
2000,1.4947541952133179,1.6235408782958984,1.6235408782958984
2100,1.4249777793884277,1.5900465250015259,1.5900465250015259
2200,1.3787940740585327,1.5805389881134033,1.5805389881134033
2300,1.3698853254318237,1.5213279724121094,1.5213279724121094
2400,1.3839116096496582,1.4756942987442017,1.4756942987442017
2500,1.4039782285690308,1.5083523988723755,1.4756942987442017
2600,1.322206735610962,1.4823616743087769,1.4756942987442017
2700,1.2455195188522339,1.4521576166152954,1.4521576166152954
2800,1.256946325302124,1.4737799167633057,1.4521576166152954
2900,1.2497044801712036,1.4102773666381836,1.4102773666381836
3000,1.2203530073165894,1.4459264278411865,1.4102773666381836
3100,1.2230782508850098,1.452284812927246,1.4102773666381836
3200,1.1992628574371338,1.4557651281356812,1.4102773666381836
3300,1.1661733388900757,1.434414267539978,1.4102773666381836
3400,1.1661326885223389,1.4301931858062744,1.4102773666381836
3500,1.1453607082366943,1.3965219259262085,1.3965219259262085
3600,1.136458158493042,1.3816744089126587,1.3816744089126587
3700,1.1274278163909912,1.3441880941390991,1.3441880941390991
3800,1.0720093250274658,1.374723196029663,1.3441880941390991
3900,1.1201107501983643,1.30716872215271,1.30716872215271
4000,1.101083755493164,1.391455888748169,1.30716872215271
4100,1.103752613067627,1.3698208332061768,1.30716872215271
4200,1.0749822854995728,1.3379853963851929,1.30716872215271
4300,1.0707933902740479,1.3341861963272095,1.30716872215271
4400,1.034898042678833,1.3049533367156982,1.3049533367156982
4500,1.06827974319458,1.2939255237579346,1.2939255237579346
4600,1.0273219347000122,1.3007218837738037,1.2939255237579346
4700,1.025775671005249,1.280661702156067,1.280661702156067
4800,1.0340214967727661,1.2858785390853882,1.280661702156067
4900,0.9995691180229187,1.3108272552490234,1.280661702156067
5000,0.9659139513969421,1.3025009632110596,1.280661702156067
5100,0.9954562187194824,1.2737940549850464,1.2737940549850464
5200,0.9974581003189087,1.2924989461898804,1.2737940549850464
5300,0.994221031665802,1.2907016277313232,1.2737940549850464
5400,0.9653059244155884,1.2849133014678955,1.2737940549850464
5500,0.9313014149665833,1.299429178237915,1.2737940549850464
5600,0.9630644917488098,1.207360029220581,1.207360029220581
