step,train_loss,val_loss,best_val_loss
0,4.847414493560791,4.832475185394287,4.832475185394287
100,3.0226285457611084,2.8652665615081787,2.8652665615081787
200,2.7206168174743652,2.66337251663208,2.66337251663208
300,2.599261522293091,2.554088592529297,2.554088592529297
400,2.4768242835998535,2.4849956035614014,2.4849956035614014
500,2.4332146644592285,2.4049272537231445,2.4049272537231445
600,2.4204039573669434,2.390315294265747,2.390315294265747
700,2.3986222743988037,2.3407840728759766,2.3407840728759766
800,2.3587615489959717,2.318108320236206,2.318108320236206
900,2.353511095046997,2.2774503231048584,2.2774503231048584
1000,2.3379712104797363,2.2773704528808594,2.2773704528808594
1100,2.3033223152160645,2.244110584259033,2.244110584259033
1200,2.2818048000335693,2.264150381088257,2.244110584259033
1300,2.297534227371216,2.2430968284606934,2.2430968284606934
1400,2.2663142681121826,2.2239534854888916,2.2239534854888916
1500,2.234198808670044,2.170870304107666,2.170870304107666
1600,2.1647450923919678,2.1797754764556885,2.170870304107666
1700,2.219964027404785,2.1798577308654785,2.170870304107666
1800,2.117363691329956,2.118408203125,2.118408203125
1900,2.1411375999450684,2.1306312084198,2.118408203125
2000,2.1091699600219727,2.109356164932251,2.109356164932251
2100,2.105170249938965,2.0540356636047363,2.0540356636047363
2200,2.070328950881958,2.0745372772216797,2.0540356636047363
2300,2.0214600563049316,2.0101656913757324,2.0101656913757324
2400,1.9946985244750977,1.9982980489730835,1.9982980489730835
2500,1.9509391784667969,2.004831552505493,1.9982980489730835
2600,1.9437971115112305,1.9762744903564453,1.9762744903564453
2700,1.9619026184082031,1.9564530849456787,1.9564530849456787
2800,1.9353229999542236,1.9587087631225586,1.9564530849456787
2900,1.9191160202026367,1.9198709726333618,1.9198709726333618
3000,1.8653913736343384,1.9213320016860962,1.9198709726333618
3100,1.8744056224822998,1.8889102935791016,1.8889102935791016
3200,1.81794011592865,1.929603934288025,1.8889102935791016
3300,1.8463274240493774,1.8376964330673218,1.8376964330673218
3400,1.815331220626831,1.8664333820343018,1.8376964330673218
3500,1.8132121562957764,1.8483244180679321,1.8376964330673218
3600,1.7655484676361084,1.8334709405899048,1.8334709405899048
3700,1.7499955892562866,1.8205064535140991,1.8205064535140991
3800,1.7655353546142578,1.7922563552856445,1.7922563552856445
3900,1.7112722396850586,1.7814290523529053,1.7814290523529053
4000,1.7803938388824463,1.7766577005386353,1.7766577005386353
4100,1.7216752767562866,1.7879209518432617,1.7766577005386353
4200,1.7391504049301147,1.7899796962738037,1.7766577005386353
4300,1.6567634344100952,1.799634575843811,1.7766577005386353
4400,1.6659352779388428,1.7582536935806274,1.7582536935806274
4500,1.619329810142517,1.7652251720428467,1.7582536935806274
4600,1.6637853384017944,1.8091294765472412,1.7582536935806274
4700,1.62552809715271,1.7187656164169312,1.7187656164169312
4800,1.6420466899871826,1.738067865371704,1.7187656164169312
4900,1.6138439178466797,1.688299536705017,1.688299536705017
