step,train_loss,val_loss,best_val_loss
0,6.367413520812988,6.382784366607666,6.382784366607666
100,5.229313850402832,5.315106391906738,5.315106391906738
200,4.523695945739746,4.787916660308838,4.787916660308838
300,4.0260114669799805,4.3226213455200195,4.3226213455200195
400,3.676175594329834,4.041205406188965,4.041205406188965
500,3.5312423706054688,3.9629883766174316,3.9629883766174316
600,3.3933467864990234,3.855116367340088,3.855116367340088
700,3.2400612831115723,3.795351028442383,3.795351028442383
800,3.1163852214813232,3.7113871574401855,3.7113871574401855
900,3.0417895317077637,3.632854461669922,3.632854461669922
1000,2.8838043212890625,3.5901153087615967,3.5901153087615967
1100,2.8188538551330566,3.5552055835723877,3.5552055835723877
1200,2.720259189605713,3.4578299522399902,3.4578299522399902
1300,2.6886277198791504,3.4341652393341064,3.4341652393341064
1400,2.5767040252685547,3.3840994834899902,3.3840994834899902
1500,2.5226199626922607,3.3488502502441406,3.3488502502441406
1600,2.4130892753601074,3.313570737838745,3.313570737838745
1700,2.4007649421691895,3.306675672531128,3.306675672531128
